"Designator","Mid X","Mid Y","Layer","Rotation"
"C1","19.500000mm","-3.500000mm","Top","0.000000"
"R1","12.000000mm","-3.500000mm","Top","0.000000"
"R2","12.000000mm","-11.500000mm","Top","0.000000"
"U1","16.000000mm","-7.500000mm","Top","0.000000"
