Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_0603",19.500000,-3.500000,0.000000,top
"J1","RPi_GPIO_1-6","RPi_2x03_Female_Bottom",5.000000,-5.000000,0.000000,top
"R1","12k","R_0603",12.000000,-3.500000,0.000000,top
"R2","12k","R_0603",12.000000,-11.500000,0.000000,top
"TP1","3V3","TestPoint",9.000000,-2.700000,0.000000,top
"TP2","SDA","TestPoint",13.500000,-5.000000,0.000000,top
"TP3","SCL","TestPoint",13.500000,-10.000000,0.000000,top
"TP4","GND","TestPoint",7.000000,-12.300000,0.000000,top
"U1","MFI343S00177-L","MFI343S00177_XDFN8_2x3mm_P0.5",16.000000,-7.500000,0.000000,top
